book,line,text
6,867,then tears welled in anchises eyes my child dont ask about the great grief of your people the fates will offer us the merest glimpse of him 
7,360,she still spoke gently like a mother shedding tears for her daughter and the phrygian wedding will you give lavinia to these trojan exiles 
7,762,umbro how angitias forest and fucinus glassy waters and clear lakes will weep for you virbius goes to war as well hippolytuss 
8,381,wept over aeneas hardships now as jove commands hes landed on rutulian shores so ive come to beg you after allyou whom 
8,384,i adoreto ask for weapons for my son the mothers thetis and aurora moved you once with tears see how nations mass how cities 
8,393,tear through dark clouds with a thundering crash his wife knew her effect her cunning pleased her vulcan bound by his undying love asked her 
8,711,swept by waves and wind amid the sea of blood opposite hed carved the mighty nile in mourning opening his garments folds welcoming 
9,249,hearts tears streaming down his face he clasped their shoulders and right hands what gifts you two what presents could be worthy of your 
9,288,i couldnt bear to see her tears i beg you help her in her need and loneliness let me take this hope with me and ill go 
9,291,still more bravely into danger this moved the dardans and they wept handsome ilus above all the image of this filial love 
9,300,the gifts i promise if your mission turns out well those will still go to your mothers family in tears he untied his gilded sword 
9,339,he was like a starving lion bringing chaos to a sheepfold when mindless hunger makes him tear the soft sheep mute with fear he roars with bloody jaws 
9,450,the rutulian victors took up their spoils in tears they carried volcens body back to camp their grief was not reduced by bloodless rhamnes 
9,504,from far a shout went up the heavens bellowed back the volscians raced up under overlapping shields keen to fill the ditches and tear down the walls 
10,465,as he dies let his dimming eyes fall on his victor alcides heard and stifled a great groan within his heart shedding futile tears 
10,507,but a crowd of pallas friends with many groans and tears set him on his shield and took him home ah pallas youll bring grief and glory to your father 
10,630,at this juno wept why cant you give me what your words withhold why cant turnus have his life unless im wrong an awful death awaits 
10,792,with deep love for his father shedding tears lausus i wont silence your memory your hard death or your heroism if indeed 
10,861,and comfort on it he rode a victor out of every combat he spoke to the grieving animal rhaebus weve lived long if anything is long 
11,27,we must take pallas to evanders mourning city the day of darkness swept him off for all his courage and plunged him into bitter death 
11,30,in tears aeneas went back to the threshold where pallas lifeless body lay old acoetes was guarding it he was once the armorbearer 
11,36,troops and trojan women their hair loose in mourning and when aeneas came through the high entrance the women beat their chests and a great groan rose up 
11,42,from an italian spear his tears welled again when fortune smiled on me poor boy was your life the cost so youd never see our kingdom 
11,60,aeneas wept and had them lift the wretched body he sent a thousand men selected from the troops to escort the funeral and share the fathers 
11,63,tears scant comfort for so great a grief yet an homage due a parents sorrow others quickly wove a bier of pliant wicker from arbutus 
11,90,athon without regalia weeping as he walked his muzzle wet with giant tears they brought his spear and helmet the victor turnus 
11,93,had the rest the grieving army followed trojans etruscans and arcadians their spears reversed when this line of comrades had gone a good way 
11,147,when the mothers saw this group arriving at their homes they set the grieving town afire with cries nothing could restrain evander he pushed 
11,192,their weapons and the earth were wet with tears the shouts of men and blares of horns rose skyward some threw spoils from slaughtered latins in the flames 
11,201,over halfburnt mounds they watched their comrades blaze along the shore they could not tear themselves away till damp night ferried in the bright starstudded sky 
11,213,mourning and heaped warm mounds of earth on top the greatest clamor the greatest part of the long grieving was in rich latinus city and its homes 
11,453,eagerly the young men roared for weapons sad fathers wept and murmured everywhere a clamor of dissent rose to the skies noisy 
12,30,all the gods and men prophesied this conquered by my love for you our common blood my wifes sad tears i broke all bonds stole his 
12,57,ready to die wept and clasped her fierce soninlaw turnus by these tears by my honor if it touches you at allyoure my 
12,66,my soninlaw lavinia heard her mothers words tears ran down her burning cheeks a deep blush warmed her skin and spread its fire through her face 
12,72,his love churned in turnus he stared at her hotter still to fight and spoke curtly to amata i beg you not to send me off with tears and evil 
12,156,shed barely finished but juturnas tears were falling she beat her lovely breast three or four times this is not the time for tears saturns daughter 
12,399,aeneas leaned on his huge spear grumbling bitterly a throng of soldiers crowded round him as ilus grieved he ignored their tears old 
