book,line,text
24,6,wept still as he remembered his beloved companion nor did sleep 
24,12,remembering all these things he let fall the swelling tears lying 
24,88,was mourning the death of her blameless son who so soon was 
24,166,and came to the house of priamthere she found outcry and mourning 
24,168,made their clothes sodden with their tears and among them the old 
24,174,all up and down the house and the wives of his sons were mourning 
24,217,now and weep for hektor and the way at the first strong destiny 
24,236,caught in my arms once i have my fill of mourning above him 
24,249,mourning of your own at home that you come to me with your 
24,369,i see a man i think he will presently tear us to pieces 
24,525,so he spoke and stirred in the other a passion of grieving 
24,528,at the feet of achilleus and wept close for manslaughtering hektor 
24,529,and achilleus wept now for his own father now again 
24,530,for patroklos the sound of their mourning moved in the house then 
24,541,our sorrows lie still in the heart for all our grieving there is not 
24,659,i have been grieving and brooding over my numberless sorrows 
24,738,all day till the sun went down and let fall their tears for hektor 
24,741,you may sate yourselves with mourning when i have him inside the 
24,748,chanted the song of sorrow and the women were mourning beside 
24,768,therefore your people are grieving for you all through their city 
24,769,hektor and you left for your parents mourning and sorrow 
24,774,so she spoke in tears and the women were mourning about her 
24,788,so she spoke in tears and wakened the endless mourning 
24,806,so she spoke in tears and the vast populace grieved with her 
24,825,up mourning as the tears swelled and ran down their cheeks then 
